file,tau,m,mLAM,mTT,mDEratio,rank,group
pmn_j2345-1555_lc_liner.csv,4,4,0.8586525759577279,5.446927374301676,14.992325199002115,92,Mid
pks0250-225_lc_liner.csv,7,5,0.8668322506687046,5.4444,14.889873245976144,93,Mid
mkn501_lc_liner.csv,1,4,0.5710727736605515,3.006395906619763,14.779474717112093,94,Mid
cta102_lc_liner.csv,10,5,0.841999732656062,9.8421875,14.501298642565711,95,Mid
pks1954-388_lc_liner.csv,5,4,0.8423684210526315,7.266742338251986,14.45528523199446,96,Mid
pks0226-559_lc_liner.csv,10,3,0.8103549141965679,9.255011135857462,14.121677033618006,97,Low
on246_lc_liner.csv,8,4,0.8326535982107618,4.744377811094453,13.960125833227304,98,Low
s4_1030+61_lc_liner.csv,5,4,0.8108857250850448,5.545885394226627,13.926224390643153,99,Low
pg1553+113_lc_liner.csv,1,4,0.35562697065243754,2.669549385525717,13.810883604683509,100,Low
pks0301-243_lc_liner.csv,2,4,0.800498298492951,5.344016227180528,13.749463810803855,101,Low
s5_1044+71_lc_liner.csv,21,6,0.8202322841272514,5.003080082135524,13.609553075647275,102,Low
pks0440-00_lc_liner.csv,7,4,0.8271698113207547,6.440744368266405,13.565722677109292,103,Low
pks1622-253_lc_liner.csv,12,6,0.8945918015845676,5.117241379310345,13.250596950972714,104,Low
pks0736+01_lc_liner.csv,8,4,0.7218685341397422,3.9132873166522866,13.134153183209207,105,Low
b2_2308+34_lc_liner.csv,15,5,0.8421693264809305,4.346945898778359,12.7856442828547,106,Low
pks2233-148_lc_liner.csv,6,5,0.7956730769230769,4.122582759750902,12.676552460497632,107,Low
pks1424-41_lc_liner.csv,19,4,0.7491958952366365,3.495176848874598,12.652793745758785,108,Low
pks2023-07_lc_liner.csv,5,4,0.7573063973063973,4.046779417056495,12.59960321509143,109,Low
pks0454-234_lc_liner.csv,8,4,0.7040973290448889,3.747673985857834,12.595239874312826,110,Low
pks0336-01_lc_liner.csv,4,4,0.7725866336633663,6.9748603351955305,12.547084415743553,111,Low
b2_0619+33_lc_liner.csv,14,10,0.8904645476772616,3.2059859154929575,12.511259497492244,112,Low
og050_lc_liner.csv,4,5,0.7749793559042114,4.135879544619905,12.20950696315369,113,Low
pks0426-380_lc_liner.csv,15,4,0.7277173913043479,4.6513243595310465,12.194364994387996,114,Low
pks1244-255_lc_liner.csv,3,5,0.75052076951354,4.543768545994065,12.149616720514713,115,Low
