time,original
545,2.3661100000000003e-07
546,2.51478e-07
547,2.68157e-07
548,2.16846e-07
549,1.4222900000000002e-07
550,9.56524e-08
551,1.7541e-07
552,2.26345e-07
553,2.2916700000000003e-07
554,1.46743e-07
555,1.55062e-07
556,2.00439e-07
557,3.09638e-07
558,1.7792200000000002e-07
559,2.0091500000000002e-07
560,1.48958e-07
561,1.2597966682165854e-07
562,1.0724700000000001e-07
563,7.652177934622377e-08
564,5.71743e-08
565,7.219380000000001e-08
566,8.72133e-08
567,7.24695e-08
568,1.0063000000000001e-07
569,8.71056e-08
570,5.07786e-08
571,8.846059999999998e-09
572,1.2648107407407409e-08
573,2.2153225925925926e-08
574,3.450988e-08
575,4.686653407407408e-08
576,5.637165259259259e-08
577,6.01737e-08
